year_month,fuel,fuel_cost_won_per_gcal
2026-04,nuclear,2600.253359
2026-04,coal,33480.689892
2026-04,anthracite,39213.5
2026-04,oil,140027.474765
2026-04,lng,69680.926974
2026-03,nuclear,2596.47600767754
2026-03,coal,33835.3229631659
2026-03,anthracite,37357.5
2026-03,oil,139746.420150659
2026-03,lng,66286.7966645666
2026-02,nuclear,2591.207294
2026-02,coal,31839.569288
2026-02,anthracite,31949.5
2026-02,oil,139375.16855
2026-02,lng,68393.690265
2026-01,nuclear,2585.880998
2026-01,coal,31579.881862
2026-01,anthracite,25936.0
2026-01,oil,139367.345951
2026-01,lng,67808.023441
2025-12,nuclear,2584.38963532
2025-12,coal,29446.65193337
2025-12,anthracite,21638.5
2025-12,oil,139547.27815443
2025-12,lng,63540.05732084
2025-11,nuclear,2582.7751757
2025-11,coal,29505.541877
2025-11,anthracite,21218.0
2025-11,oil,139752.32693
2025-11,lng,63581.049705
2025-10,nuclear,2580.194049904
2025-10,coal,29168.281860597
2025-10,anthracite,37300.5
2025-10,oil,137673.016195857
2025-10,lng,66682.890418001
2025-09,nuclear,2575.30902111
2025-09,coal,29969.68834584
2025-09,anthracite,27926.0
2025-09,oil,139865.48248588
2025-09,lng,69557.23281977
2025-08,nuclear,2571.82
2025-08,coal,31768.7
2025-08,anthracite,15203.0
2025-08,oil,126172.93
2025-08,lng,68063.08
2025-07,nuclear,2568.45
2025-07,coal,33127.94
2025-07,anthracite,13364.5
2025-07,oil,125472.69
2025-07,lng,69424.35
2025-06,nuclear,2565.62
2025-06,coal,35667.66
2025-06,anthracite,37476.0
2025-06,oil,125465.38
2025-06,lng,73406.64
2025-05,nuclear,2565.03
2025-05,coal,35403.8
2025-05,anthracite,34903.5
2025-05,oil,125474.08
2025-05,lng,75576.07
2025-04,nuclear,2560.39
2025-04,coal,37198.18
2025-04,anthracite,38335.0
2025-04,oil,125444.44
2025-04,lng,78072.76
2025-03,nuclear,2561.26
2025-03,coal,35943.12
2025-03,anthracite,33892.0
2025-03,oil,125609.62
2025-03,lng,74817.05
2025-02,nuclear,2562.38
2025-02,coal,35057.45
2025-02,anthracite,34173.0
2025-02,oil,125673.94
2025-02,lng,76812.79
2025-01,nuclear,2565.23
2025-01,coal,34243.01
2025-01,anthracite,26157.0
2025-01,oil,125480.16
2025-01,lng,79153.1
2024-12,nuclear,2565.66
2024-12,coal,36135.39
2024-12,anthracite,26035.0
2024-12,oil,125432.57
2024-12,lng,82687.26
2024-11,nuclear,2572.534
2024-11,coal,34341.967
2024-11,anthracite,32830.5
2024-11,oil,125116.3
2024-11,lng,77950.727
2024-10,nuclear,2574.98
2024-10,coal,33762.09
2024-10,anthracite,33298.5
2024-10,oil,135803.5
2024-10,lng,78220.26
2024-09,nuclear,2576.78
2024-09,coal,33771.88
2024-09,anthracite,34989.5
2024-09,oil,142366.52
2024-09,lng,81288.74
2024-08,nuclear,2578.217
2024-08,coal,34139.384
2024-08,anthracite,32013.5
2024-08,oil,146948.974
2024-08,lng,80314.96
2024-07,nuclear,2578.879
2024-07,coal,35230.067
2024-07,anthracite,39712.0
2024-07,oil,147127.344
2024-07,lng,76053.035
2024-06,nuclear,2582.108
2024-06,coal,35232.428
2024-06,anthracite,37762.5
2024-06,oil,146698.078
2024-06,lng,74578.377
2024-05,nuclear,2579.507
2024-05,coal,35231.883
2024-05,anthracite,40555.5
2024-05,oil,141328.245
2024-05,lng,76155.316
2024-04,nuclear,2584.329
2024-04,coal,34784.797
2024-04,anthracite,39595.5
2024-04,oil,141532.499
2024-04,lng,78118.738
2024-03,nuclear,2584.755
2024-03,coal,34175.304
2024-03,anthracite,31252.0
2024-03,oil,141648.819
2024-03,lng,85248.754
2024-02,nuclear,2581.00811
2024-02,coal,32041.15196
2024-02,anthracite,23928.5
2024-02,oil,142083.6617
2024-02,lng,85783.62289
2024-01,nuclear,2582.86815
2024-01,coal,32268.2417
2024-01,anthracite,19884.0
2024-01,oil,143116.47
2024-01,lng,94373.34876
2023-12,nuclear,2584.68
2023-12,coal,40172.117
2023-12,anthracite,34717.5
2023-12,oil,147108.035
2023-12,lng,86703.6803
2023-11,nuclear,2569.521
2023-11,coal,33107.759
2023-11,anthracite,35175.0
2023-11,oil,146411.521
2023-11,lng,82497.35
2023-10,nuclear,2566.957
2023-10,coal,35981.991
2023-10,anthracite,33558.5
2023-10,oil,145196.293
2023-10,lng,89294.653
2023-09,nuclear,2565.15
2023-09,coal,39603.889
2023-09,anthracite,37012.0
2023-09,oil,137507.22
2023-09,lng,84390.3
2023-08,nuclear,2561.44
2023-08,coal,40683.664
2023-08,anthracite,36312.5
2023-08,oil,136405.197
2023-08,lng,84968.378
2023-07,nuclear,2558.67
2023-07,coal,46906.043
2023-07,anthracite,30777.0
2023-07,oil,136149.61
2023-07,lng,89808.432
2023-06,nuclear,2560.42
2023-06,coal,47528.043
2023-06,anthracite,29593.0
2023-06,oil,137529.002
2023-06,lng,89725.013
2023-05,nuclear,2563.68
2023-05,coal,48979.25
2023-05,anthracite,36673.5
2023-05,oil,137594.17
2023-05,lng,93070.37
2023-04,nuclear,2562.9
2023-04,coal,49688.046
2023-04,anthracite,39706.0
2023-04,oil,134457.001
2023-04,lng,101298.847
2023-03,nuclear,2560.866
2023-03,coal,51257.591
2023-03,anthracite,39896.5
2023-03,oil,135303.265
2023-03,lng,128754.613
2023-02,nuclear,2560.79
2023-02,coal,54110.05
2023-02,anthracite,41857.5
2023-02,oil,140279.322
2023-02,lng,151816.526
2023-01,nuclear,2559.286
2023-01,coal,56891.443
2023-01,anthracite,47125.5
2023-01,oil,160489.946
2023-01,lng,147230.182
2022-12,nuclear,2566.794
2022-12,coal,61854.066
2022-12,anthracite,44311.5
2022-12,oil,161972.124
2022-12,lng,151718.183
2022-11,nuclear,2567.882
2022-11,coal,56400.131
2022-11,anthracite,43587.0
2022-11,oil,159000.565
2022-11,lng,153802.183
2022-10,nuclear,2566.785
2022-10,coal,57603.469
2022-10,anthracite,47613.5
2022-10,oil,165930.149
2022-10,lng,151874.832
2022-09,nuclear,2558.447
2022-09,coal,58218.514
2022-09,anthracite,48918.5
2022-09,oil,166114.255
2022-09,lng,141699.087
2022-08,nuclear,2559.045
2022-08,coal,58803.507
2022-08,anthracite,46464.5
2022-08,oil,183240.286
2022-08,lng,121313.68
2022-07,nuclear,2560.834
2022-07,coal,50898.659
2022-07,anthracite,38383.5
2022-07,oil,166598.638
2022-07,lng,89278.974
2022-06,nuclear,2561.215
2022-06,coal,45803.891
2022-06,anthracite,30131.0
2022-06,oil,163332.54
2022-06,lng,79989.596
2022-05,nuclear,2564.424
2022-05,coal,45535.298
2022-05,anthracite,75340.5
2022-05,oil,143913.471
2022-05,lng,83337.853
2022-04,nuclear,2563.271
2022-04,coal,44267.46
2022-04,anthracite,32548.5
2022-04,oil,134566.379
2022-04,lng,114224.002
2022-03,nuclear,2564.815
2022-03,coal,40727.268
2022-03,anthracite,31204.5
2022-03,oil,131384.652
2022-03,lng,104505.855
2022-02,nuclear,2564.583
2022-02,coal,39107.08
2022-02,anthracite,34434.5
2022-02,oil,127758.576
2022-02,lng,115453.935
2022-01,nuclear,2564.746
2022-01,coal,35748.054
2022-01,anthracite,33991.0
2022-01,oil,95673.584
2022-01,lng,89717.422
2021-12,nuclear,2563.755
2021-12,coal,32852.808
2021-12,anthracite,22345.0
2021-12,oil,92563.839
2021-12,lng,82799.586
2021-11,nuclear,2552.267
2021-11,coal,29879.005
2021-11,anthracite,27861.0
2021-11,oil,90337.701
2021-11,lng,76855.943
2021-10,nuclear,2546.116
2021-10,coal,28426.441
2021-10,anthracite,31385.0
2021-10,oil,86856.359
2021-10,lng,61682.492
2021-09,nuclear,2548.925
2021-09,coal,27179.347
2021-09,anthracite,31649.0
2021-09,oil,84201.248
2021-09,lng,58944.85
2021-08,nuclear,2475.469
2021-08,coal,25897.41
2021-08,anthracite,30124.0
2021-08,oil,79353.97
2021-08,lng,55166.24
2021-07,nuclear,2478.854
2021-07,coal,25712.815
2021-07,anthracite,25435.0
2021-07,oil,76384.503
2021-07,lng,50202.23
2021-06,nuclear,2480.806
2021-06,coal,24290.408
2021-06,anthracite,23534.0
2021-06,oil,76298.896
2021-06,lng,47954.141
2021-05,nuclear,2484.155
2021-05,coal,23676.138
2021-05,anthracite,20609.0
2021-05,oil,76320.985
2021-05,lng,45636.385
2021-04,nuclear,2480.303
2021-04,coal,21844.327
2021-04,anthracite,23421.0
2021-04,oil,72836.851
2021-04,lng,43487.167
2021-03,nuclear,2474.406
2021-03,coal,21406.227
2021-03,anthracite,24738.0
2021-03,oil,67331.392
2021-03,lng,47315.7
2021-02,nuclear,2462.355
2021-02,coal,20153.341
2021-02,anthracite,26084.0
2021-02,oil,63908.02
2021-02,lng,43412.723
2021-01,nuclear,2461.329
2021-01,coal,19740.156
2021-01,anthracite,26147.0
2021-01,oil,59316.231
2021-01,lng,40435.784
2020-12,nuclear,2456.757
2020-12,coal,19803.421
2020-12,anthracite,7556.0
2020-12,oil,60676.309
2020-12,lng,38049.643
2020-11,nuclear,2455.796
2020-11,coal,20804.776
2020-11,anthracite,8984.0
2020-11,oil,73867.381
2020-11,lng,29389.767
2020-10,nuclear,2440.768
2020-10,coal,21283.442
2020-10,anthracite,27606.0
2020-10,oil,79315.351
2020-10,lng,29089.645
2020-09,nuclear,2440.768
2020-09,coal,21735.004
2020-09,anthracite,29449.0
2020-09,oil,77706.496
2020-09,lng,31997.848
2020-08,nuclear,2439.535
2020-08,coal,22568.925
2020-08,anthracite,27251.0
2020-08,oil,76956.942
2020-08,lng,36856.396
2020-07,nuclear,2435.729
2020-07,coal,23567.294
2020-07,anthracite,25320.0
2020-07,oil,76531.502
2020-07,lng,45220.395
2020-06,nuclear,2432.966
2020-06,coal,23664.184
2020-06,anthracite,27394.0
2020-06,oil,77126.424
2020-06,lng,46309.581
2020-05,nuclear,2432.966
2020-05,coal,23779.743
2020-05,anthracite,24778.0
2020-05,oil,79488.499
2020-05,lng,49126.836
2020-04,nuclear,2431.66
2020-04,coal,23039.718
2020-04,anthracite,25625.0
2020-04,oil,80213.204
2020-04,lng,46708.18
2020-03,nuclear,2428.082
2020-03,coal,23004.262
2020-03,anthracite,27397.0
2020-03,oil,79123.226
2020-03,lng,48602.907
2020-02,nuclear,2417.775
2020-02,coal,23089.705
2020-02,anthracite,27818.0
2020-02,oil,80484.079
2020-02,lng,47479.793
2020-01,nuclear,2404.684
2020-01,coal,22891.782
2020-01,anthracite,27361.0
2020-01,oil,79859.436
2020-01,lng,48859.629
