scenario,hour,smp_pre,mc_mean_smp,mc_p5_smp,mc_p95_smp,mc_delta,mc_mean_curt
S1_Early,0,55295.87854714546,55295.878547145454,55295.87854714546,55295.87854714546,-7.275957614183426e-12,0.0
S1_Early,1,54152.7077239853,54152.707723985295,54152.7077239853,54152.7077239853,-7.275957614183426e-12,0.0
S1_Early,2,53760.277475141986,53760.27747514199,53760.277475141986,53760.277475141986,7.275957614183426e-12,0.0
S1_Early,3,53589.33321579305,53589.33321579304,53589.33321579305,53589.33321579305,-7.275957614183426e-12,0.0
S1_Early,4,53740.79881657162,53740.79881657162,53740.79881657162,53740.79881657162,0.0,0.0
S1_Early,5,54053.16428672148,54053.164286721476,54053.16428672148,54053.16428672148,-7.275957614183426e-12,0.0
S1_Early,6,55096.82887656375,55096.82887656374,55096.82887656375,55096.82887656375,-7.275957614183426e-12,0.0
S1_Early,7,55191.07435883681,55191.07435883682,55191.07435883681,55191.07435883681,7.275957614183426e-12,0.0
S1_Early,8,55136.378702841736,55136.378702841736,55136.378702841736,55136.378702841736,0.0,0.0
S1_Early,9,54492.937900000004,54492.93790000001,54492.937900000004,54492.937900000004,7.275957614183426e-12,0.0
S1_Early,10,53824.47096,53824.47095999999,53824.47096,53824.47096,-7.275957614183426e-12,0.0
S1_Early,11,52401.687744653376,52401.68774465338,52401.687744653376,52401.687744653376,7.275957614183426e-12,0.0
S1_Early,12,50862.433389709586,50862.43338970957,50862.433389709586,50862.433389709586,-1.4551915228366852e-11,0.0
S1_Early,13,52175.46794825017,52175.467948250174,52175.46794825017,52175.46794825017,7.275957614183426e-12,0.0
S1_Early,14,52675.96827340172,52675.968273401704,52675.96827340172,52675.96827340172,-1.4551915228366852e-11,0.0
S1_Early,15,54139.07027127108,54139.07027127108,54139.07027127108,54139.07027127108,0.0,0.0
S1_Early,16,55682.80290226137,55682.80290226137,55682.80290226137,55682.80290226137,0.0,0.0
S1_Early,17,57452.533749281094,57452.5337492811,57452.533749281094,57452.533749281094,7.275957614183426e-12,0.0
S1_Early,18,58725.88719175969,58725.887191759684,58725.88719175969,58725.88719175969,-7.275957614183426e-12,0.0
S1_Early,19,59368.83916,59368.83916000001,59368.83916,59368.83916,7.275957614183426e-12,0.0
S1_Early,20,58998.92101491321,58998.92101491321,58998.92101491321,58998.92101491321,0.0,0.0
S1_Early,21,58484.88820553261,58484.88820553262,58484.88820553261,58484.88820553261,7.275957614183426e-12,0.0
S1_Early,22,58280.655278631064,58280.655278631064,58280.655278631064,58280.655278631064,0.0,0.0
S1_Early,23,57670.46754646033,57670.46754646033,57670.46754646033,57670.46754646033,0.0,0.0
S2_Mature,0,55295.87854714546,55295.878547145454,55295.87854714546,55295.87854714546,-7.275957614183426e-12,0.0
S2_Mature,1,54152.7077239853,54152.707723985295,54152.7077239853,54152.7077239853,-7.275957614183426e-12,0.0
S2_Mature,2,53760.277475141986,53760.27747514199,53760.277475141986,53760.277475141986,7.275957614183426e-12,0.0
S2_Mature,3,53589.33321579305,53589.33321579304,53589.33321579305,53589.33321579305,-7.275957614183426e-12,0.0
S2_Mature,4,53740.79881657162,53740.79881657162,53740.79881657162,53740.79881657162,0.0,0.0
S2_Mature,5,54053.16428672148,54053.164286721476,54053.16428672148,54053.16428672148,-7.275957614183426e-12,0.0
S2_Mature,6,55096.82887656375,55096.82887656374,55096.82887656375,55096.82887656375,-7.275957614183426e-12,0.0
S2_Mature,7,55191.07435883681,55191.07435883682,55191.07435883681,55191.07435883681,7.275957614183426e-12,0.0
S2_Mature,8,55136.378702841736,55136.378702841736,55136.378702841736,55136.378702841736,0.0,0.0
S2_Mature,9,54492.937900000004,54492.93790000001,54492.937900000004,54492.937900000004,7.275957614183426e-12,0.0
S2_Mature,10,53824.47096,53824.47095999999,53824.47096,53824.47096,-7.275957614183426e-12,0.0
S2_Mature,11,52401.687744653376,52401.68774465338,52401.687744653376,52401.687744653376,7.275957614183426e-12,0.0
S2_Mature,12,50862.433389709586,50862.43338970957,50862.433389709586,50862.433389709586,-1.4551915228366852e-11,0.0
S2_Mature,13,52175.46794825017,52175.467948250174,52175.46794825017,52175.46794825017,7.275957614183426e-12,0.0
S2_Mature,14,52675.96827340172,52675.968273401704,52675.96827340172,52675.96827340172,-1.4551915228366852e-11,0.0
S2_Mature,15,54139.07027127108,54139.07027127108,54139.07027127108,54139.07027127108,0.0,0.0
S2_Mature,16,55682.80290226137,55682.80290226137,55682.80290226137,55682.80290226137,0.0,0.0
S2_Mature,17,57452.533749281094,57452.5337492811,57452.533749281094,57452.533749281094,7.275957614183426e-12,0.0
S2_Mature,18,58725.88719175969,58725.887191759684,58725.88719175969,58725.88719175969,-7.275957614183426e-12,0.0
S2_Mature,19,59368.83916,59368.83916000001,59368.83916,59368.83916,7.275957614183426e-12,0.0
S2_Mature,20,58998.92101491321,58998.92101491321,58998.92101491321,58998.92101491321,0.0,0.0
S2_Mature,21,58484.88820553261,58484.88820553262,58484.88820553261,58484.88820553261,7.275957614183426e-12,0.0
S2_Mature,22,58280.655278631064,58280.655278631064,58280.655278631064,58280.655278631064,0.0,0.0
S2_Mature,23,57670.46754646033,57670.46754646033,57670.46754646033,57670.46754646033,0.0,0.0
S3_Aggressive,0,55295.87854714546,55295.878547145454,55295.87854714546,55295.87854714546,-7.275957614183426e-12,0.0
S3_Aggressive,1,54152.7077239853,54152.707723985295,54152.7077239853,54152.7077239853,-7.275957614183426e-12,0.0
S3_Aggressive,2,53760.277475141986,53760.27747514199,53760.277475141986,53760.277475141986,7.275957614183426e-12,0.0
S3_Aggressive,3,53589.33321579305,53589.33321579304,53589.33321579305,53589.33321579305,-7.275957614183426e-12,0.0
S3_Aggressive,4,53740.79881657162,53740.79881657162,53740.79881657162,53740.79881657162,0.0,0.0
S3_Aggressive,5,54053.16428672148,54053.164286721476,54053.16428672148,54053.16428672148,-7.275957614183426e-12,0.0
S3_Aggressive,6,55096.82887656375,55096.82887656374,55096.82887656375,55096.82887656375,-7.275957614183426e-12,0.0
S3_Aggressive,7,55191.07435883681,55191.07435883682,55191.07435883681,55191.07435883681,7.275957614183426e-12,0.0
S3_Aggressive,8,55136.378702841736,55136.378702841736,55136.378702841736,55136.378702841736,0.0,0.0
S3_Aggressive,9,54492.937900000004,54492.93790000001,54492.937900000004,54492.937900000004,7.275957614183426e-12,0.0
S3_Aggressive,10,53824.47096,53824.47095999999,53824.47096,53824.47096,-7.275957614183426e-12,0.0
S3_Aggressive,11,52401.687744653376,52401.68774465338,52401.687744653376,52401.687744653376,7.275957614183426e-12,0.0
S3_Aggressive,12,50862.433389709586,50862.43338970957,50862.433389709586,50862.433389709586,-1.4551915228366852e-11,0.0
S3_Aggressive,13,52175.46794825017,52175.467948250174,52175.46794825017,52175.46794825017,7.275957614183426e-12,0.0
S3_Aggressive,14,52675.96827340172,52675.968273401704,52675.96827340172,52675.96827340172,-1.4551915228366852e-11,0.0
S3_Aggressive,15,54139.07027127108,54139.07027127108,54139.07027127108,54139.07027127108,0.0,0.0
S3_Aggressive,16,55682.80290226137,55682.80290226137,55682.80290226137,55682.80290226137,0.0,0.0
S3_Aggressive,17,57452.533749281094,57452.5337492811,57452.533749281094,57452.533749281094,7.275957614183426e-12,0.0
S3_Aggressive,18,58725.88719175969,58725.887191759684,58725.88719175969,58725.88719175969,-7.275957614183426e-12,0.0
S3_Aggressive,19,59368.83916,59368.83916000001,59368.83916,59368.83916,7.275957614183426e-12,0.0
S3_Aggressive,20,58998.92101491321,58998.92101491321,58998.92101491321,58998.92101491321,0.0,0.0
S3_Aggressive,21,58484.88820553261,58484.88820553262,58484.88820553261,58484.88820553261,7.275957614183426e-12,0.0
S3_Aggressive,22,58280.655278631064,58280.655278631064,58280.655278631064,58280.655278631064,0.0,0.0
S3_Aggressive,23,57670.46754646033,57670.46754646033,57670.46754646033,57670.46754646033,0.0,0.0
